year,state,state_po,office,totalvotes
2000,MINNESOTA,MN,US PRESIDENT,2438685
2000,MISSISSIPPI,MS,US PRESIDENT,994184
2000,MISSOURI,MO,US PRESIDENT,2359892
2000,MONTANA,MT,US PRESIDENT,410986
2000,NEBRASKA,NE,US PRESIDENT,697019
2000,NEVADA,NV,US PRESIDENT,609426
2000,NEW HAMPSHIRE,NH,US PRESIDENT,569081
2000,NEW JERSEY,NJ,US PRESIDENT,3187226
2000,NEW MEXICO,NM,US PRESIDENT,598605
2000,NEW YORK,NY,US PRESIDENT,6960215
2000,NORTH CAROLINA,NC,US PRESIDENT,2914990
2000,NORTH DAKOTA,ND,US PRESIDENT,288256
2000,OHIO,OH,US PRESIDENT,4701998
2000,OKLAHOMA,OK,US PRESIDENT,1234229
2000,OREGON,OR,US PRESIDENT,1533950
2000,PENNSYLVANIA,PA,US PRESIDENT,4912185
2000,RHODE ISLAND,RI,US PRESIDENT,409112
2000,SOUTH CAROLINA,SC,US PRESIDENT,1383902
2000,SOUTH DAKOTA,SD,US PRESIDENT,316269
2000,TENNESSEE,TN,US PRESIDENT,2076181
2000,TEXAS,TX,US PRESIDENT,6407637
2000,UTAH,UT,US PRESIDENT,770754
2000,VERMONT,VT,US PRESIDENT,294308
2000,VIRGINIA,VA,US PRESIDENT,2739447
2000,WASHINGTON,WA,US PRESIDENT,2487433
2000,WEST VIRGINIA,WV,US PRESIDENT,648124
2000,WISCONSIN,WI,US PRESIDENT,2598607
2000,WYOMING,WY,US PRESIDENT,213726
2004,ALABAMA,AL,US PRESIDENT,1883415
2004,ALASKA,AK,US PRESIDENT,312598
2004,ARIZONA,AZ,US PRESIDENT,2012585
2004,ARKANSAS,AR,US PRESIDENT,1054945
2004,CALIFORNIA,CA,US PRESIDENT,12421353
2004,COLORADO,CO,US PRESIDENT,2129630
2004,CONNECTICUT,CT,US PRESIDENT,1578769
2004,DELAWARE,DE,US PRESIDENT,375190
2004,DISTRICT OF COLUMBIA,DC,US PRESIDENT,227586
2004,FLORIDA,FL,US PRESIDENT,7609810
2004,GEORGIA,GA,US PRESIDENT,3301875
2004,HAWAII,HI,US PRESIDENT,429013
2004,IDAHO,ID,US PRESIDENT,598376
2004,ILLINOIS,IL,US PRESIDENT,5274322
2004,INDIANA,IN,US PRESIDENT,2468002
2004,IOWA,IA,US PRESIDENT,1506908
2004,KANSAS,KS,US PRESIDENT,1187756
2004,KENTUCKY,KY,US PRESIDENT,1795882
2004,LOUISIANA,LA,US PRESIDENT,1943106
2004,MAINE,ME,US PRESIDENT,740752
2004,MARYLAND,MD,US PRESIDENT,2384238
2004,MASSACHUSETTS,MA,US PRESIDENT,2927455
2004,MICHIGAN,MI,US PRESIDENT,4839252
2004,MINNESOTA,MN,US PRESIDENT,2828387
2004,MISSISSIPPI,MS,US PRESIDENT,1139824
2004,MISSOURI,MO,US PRESIDENT,2731364
2004,MONTANA,MT,US PRESIDENT,450434
2004,NEBRASKA,NE,US PRESIDENT,778186
2004,NEVADA,NV,US PRESIDENT,829587
2004,NEW HAMPSHIRE,NH,US PRESIDENT,678287
2004,NEW JERSEY,NJ,US PRESIDENT,3611691
2004,NEW MEXICO,NM,US PRESIDENT,756304
2004,NEW YORK,NY,US PRESIDENT,7448266
2004,NORTH CAROLINA,NC,US PRESIDENT,3501007
2004,NORTH DAKOTA,ND,US PRESIDENT,312833
2004,OHIO,OH,US PRESIDENT,5627903
2004,OKLAHOMA,OK,US PRESIDENT,1463758
2004,OREGON,OR,US PRESIDENT,1836782
2004,PENNSYLVANIA,PA,US PRESIDENT,5769590
2004,RHODE ISLAND,RI,US PRESIDENT,437134
2004,SOUTH CAROLINA,SC,US PRESIDENT,1617700
2004,SOUTH DAKOTA,SD,US PRESIDENT,388215
2004,TENNESSEE,TN,US PRESIDENT,2437319
2004,TEXAS,TX,US PRESIDENT,7410749
2004,UTAH,UT,US PRESIDENT,927844
2004,VERMONT,VT,US PRESIDENT,312309
2004,VIRGINIA,VA,US PRESIDENT,3195415
2004,WASHINGTON,WA,US PRESIDENT,2859084
2004,WEST VIRGINIA,WV,US PRESIDENT,755792
2004,WISCONSIN,WI,US PRESIDENT,2997007
2004,WYOMING,WY,US PRESIDENT,243861
